title_norm,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
12 angry men,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12 years a slave,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1917,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2001 a space odyssey,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
21 grams,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
25th hour,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28 days later,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
3 10 to yuma,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3 idiots,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
300,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50 50,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
500 days of summer,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
a beautiful mind,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
a bronx tale,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
a christmas story,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
a clockwork orange,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
a few good men,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
a hard day s night,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
a little princess,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
a man for all seasons,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
a star is born,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
a streetcar named desire,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
about time,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
ace in the hole,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
adams aebler,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
adaptation,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
after hours,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ah ga ssi,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
airplane,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
aladdin,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
alien,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
aliens,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
all about eve,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
all quiet on the western front,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
all that jazz,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
all the president s men,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
almost famous,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
amadeus,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
amelie,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
american beauty,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
american gangster,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
american history x,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
american psycho,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
amores perros,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
amour,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
annie hall,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
apocalypse now,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
apocalypto,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
apollo 13,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
argo,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
