title_norm,film,Released_Year,Runtime,IMDB_Rating,No_of_Votes,Gross,Overview,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
the godfather,The Godfather,1972.0,175,9.2,1620367,134966411,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
the dark knight,The Dark Knight,2008.0,152,9.0,2303232,534858444,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
the godfather part ii,The Godfather: Part II,1974.0,202,9.0,1129952,57300000,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12 angry men,12 Angry Men,1957.0,96,9.0,689845,4360000,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
the lord of the rings the return of the king,The Lord of the Rings: The Return of the King,2003.0,201,8.9,1642758,377845905,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
pulp fiction,Pulp Fiction,1994.0,154,8.9,1826188,107928762,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
schindler s list,Schindler's List,1993.0,195,8.9,1213505,96898818,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
inception,Inception,2010.0,148,8.8,2067042,292576195,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
fight club,Fight Club,1999.0,139,8.8,1854740,37030102,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
the lord of the rings the fellowship of the ring,The Lord of the Rings: The Fellowship of the Ring,2001.0,178,8.8,1661481,315544750,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
forrest gump,Forrest Gump,1994.0,142,8.8,1809221,330252182,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
il buono il brutto il cattivo,"Il buono, il brutto, il cattivo",1966.0,161,8.8,688390,6100000,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
the lord of the rings the two towers,The Lord of the Rings: The Two Towers,2002.0,179,8.7,1485555,342551365,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
the matrix,The Matrix,1999.0,136,8.7,1676426,171479930,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
goodfellas,Goodfellas,1990.0,146,8.7,1020727,46836394,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
star wars episode v the empire strikes back,Star Wars: Episode V - The Empire Strikes Back,1980.0,124,8.7,1159315,290475067,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
one flew over the cuckoo s nest,One Flew Over the Cuckoo's Nest,1975.0,133,8.7,918088,112000000,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
gisaengchung,Gisaengchung,2019.0,132,8.6,552778,53367844,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
interstellar,Interstellar,2014.0,169,8.6,1512360,188020017,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
cidade de deus,Cidade de Deus,2002.0,130,8.6,699256,7563397,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
sen to chihiro no kamikakushi,Sen to Chihiro no kamikakushi,2001.0,125,8.6,651376,10055859,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
saving private ryan,Saving Private Ryan,1998.0,169,8.6,1235804,216540909,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
the green mile,The Green Mile,1999.0,189,8.6,1147794,136801374,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
la vita e bella,La vita è bella,1997.0,116,8.6,623629,57598247,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
se7en,Se7en,1995.0,127,8.6,1445096,100125643,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
the silence of the lambs,The Silence of the Lambs,1991.0,118,8.6,1270197,130742922,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
star wars,Star Wars,1977.0,121,8.6,1231473,322740140,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
shichinin no samurai,Shichinin no samurai,1954.0,207,8.6,315744,269061,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
