film,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Released_Year,Runtime,IMDB_Rating,No_of_Votes,Gross,budget,revenue,popularity
(500) Days of Summer,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2009.0,95,7.7,472242,32391374,7500000,60722734,45.610993
21 Grams,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2003.0,124,7.6,224545,16290476,20000000,60427839,32.243357
300,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2006.0,117,7.6,732876,210614939,65000000,422610419,65.197968
3:10 to Yuma,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2007.0,122,7.7,288797,53606916,55000000,70016220,48.801089
50/50,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2011.0,100,7.6,315426,35014192,8000000,39187783,33.372828
A Beautiful Mind,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2001.0,135,8.2,848920,170742341,60000000,313542341,59.248437
A Hard Day's Night,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,1964.0,87,7.6,40351,13780024,560000,12299668,10.730056
Adaptation.,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2002.0,115,7.7,178565,22245861,19000000,32801173,26.441669
Aladdin,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1992.0,90,8.0,373845,217350219,28000000,504050219,92.982009
Alien,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1979.0,117,8.4,787806,78900000,11000000,104931801,94.184658
American Beauty,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1999.0,122,8.3,1069738,130096601,15000000,356296601,80.878605
