class,canonicalcategory,category,film,name,nominees,winner,detail,multifilmnomination
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Noose,Richard Barthelmess,Richard Barthelmess,False,Nickie Elkins,True
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Patent Leather Kid,Richard Barthelmess,Richard Barthelmess,False,The Patent Leather Kid,True
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Last Command,Emil Jannings,Emil Jannings,True,General Dolgorucki [Grand Duke Sergius Alexander],True
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Way of All Flesh,Emil Jannings,Emil Jannings,True,August Schilling,True
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,A Ship Comes In,Louise Dresser,Louise Dresser,False,Mrs. Pleznik,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,7th Heaven,Janet Gaynor,Janet Gaynor,True,Diane,True
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Street Angel,Janet Gaynor,Janet Gaynor,True,Angela,True
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Sunrise,Janet Gaynor,Janet Gaynor,True,The Wife,True
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Sadie Thompson,Gloria Swanson,Gloria Swanson,False,Sadie Thompson,nan
Production,ART DIRECTION,ART DIRECTION,Sunrise,Rochus Gliese,Rochus Gliese,False,nan,nan
Production,ART DIRECTION,ART DIRECTION,The Dove,William Cameron Menzies,William Cameron Menzies,True,nan,True
Production,ART DIRECTION,ART DIRECTION,Tempest,William Cameron Menzies,William Cameron Menzies,True,nan,True
Production,ART DIRECTION,ART DIRECTION,7th Heaven,Harry Oliver,Harry Oliver,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Devil Dancer,George Barnes,George Barnes,False,nan,True
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Magic Flame,George Barnes,George Barnes,False,nan,True
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Sadie Thompson,George Barnes,George Barnes,False,nan,True
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Sunrise,"Charles Rosher, Karl Struss","Charles Rosher, Karl Struss",True,nan,nan
Directing,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Two Arabian Knights,Lewis Milestone,Lewis Milestone,True,nan,nan
Directing,DIRECTING (Comedy Picture),DIRECTING (Comedy Picture),Speedy,Ted Wilde,Ted Wilde,False,nan,nan
Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),7th Heaven,Frank Borzage,Frank Borzage,True,nan,nan
Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),Sorrell and Son,Herbert Brenon,Herbert Brenon,False,nan,nan
Directing,DIRECTING (Dramatic Picture),DIRECTING (Dramatic Picture),The Crowd,King Vidor,King Vidor,False,nan,nan
Production,VISUAL EFFECTS,ENGINEERING EFFECTS,nan,Ralph Hammeras,Ralph Hammeras,False,nan,nan
Production,VISUAL EFFECTS,ENGINEERING EFFECTS,Wings,Roy Pomeroy,Roy Pomeroy,True,nan,nan
Production,VISUAL EFFECTS,ENGINEERING EFFECTS,nan,Nugent Slaughter,Nugent Slaughter,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PICTURE,The Racket,The Caddo Company,The Caddo Company,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PICTURE,7th Heaven,Fox,Fox,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PICTURE,Wings,Paramount Famous Lasky,Paramount Famous Lasky,True,nan,nan
Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Sunrise,Fox,Fox,True,nan,nan
Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,The Crowd,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,False,nan,nan
Title,UNIQUE AND ARTISTIC PICTURE,UNIQUE AND ARTISTIC PICTURE,Chang,Paramount Famous Lasky,Paramount Famous Lasky,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),The Jazz Singer,Alfred Cohn,Alfred Cohn,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),Glorious Betsy,Anthony Coldeway,Anthony Coldeway,False,nan,nan
Writing,WRITING (Adapted Screenplay),WRITING (Adaptation),7th Heaven,Benjamin Glazer,Benjamin Glazer,True,nan,nan
Writing,WRITING (Original Story),WRITING (Original Story),The Last Command,Lajos Biro,Lajos Biro,False,nan,nan
Writing,WRITING (Original Story),WRITING (Original Story),Underworld,Ben Hecht,Ben Hecht,True,nan,nan
Writing,WRITING (Title Writing),WRITING (Title Writing),The Private Life of Helen of Troy,Gerald Duffy,Gerald Duffy,False,nan,nan
Writing,WRITING (Title Writing),WRITING (Title Writing),nan,Joseph Farnham,Joseph Farnham,True,nan,nan
Writing,WRITING (Title Writing),WRITING (Title Writing),nan,"George Marion, Jr.",George Marion Jr.,False,nan,nan
Special,SPECIAL AWARD,SPECIAL AWARD,The Jazz Singer,nan,Warner Bros.,True,nan,nan
Special,SPECIAL AWARD,SPECIAL AWARD,The Circus,nan,Charles Chaplin,True,nan,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,Thunderbolt,George Bancroft,George Bancroft,False,Thunderbolt Jim Lang,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,In Old Arizona,Warner Baxter,Warner Baxter,True,The Cisco Kid,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,Alibi,Chester Morris,Chester Morris,False,"No. 1065, Chick Williams",nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Valiant,Paul Muni,Paul Muni,False,James Dyke,nan
Acting,ACTOR IN A LEADING ROLE,ACTOR,The Patriot,Lewis Stone,Lewis Stone,False,Count Pahlen,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Madame X,Ruth Chatterton,Ruth Chatterton,False,Jacqueline Floriot,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Barker,Betty Compson,Betty Compson,False,Carrie,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Letter,Jeanne Eagels,Jeanne Eagels,False,Leslie Crosbie,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Divine Lady,Corinne Griffith,Corinne Griffith,False,"Emma Hart, Lady Hamilton",nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,The Broadway Melody,Bessie Love,Bessie Love,False,Hank Mahoney,nan
Acting,ACTRESS IN A LEADING ROLE,ACTRESS,Coquette,Mary Pickford,Mary Pickford,True,Norma Besant,nan
Production,ART DIRECTION,ART DIRECTION,The Patriot,Hans Dreier,Hans Dreier,False,nan,nan
Production,ART DIRECTION,ART DIRECTION,The Bridge of San Luis Rey,Cedric Gibbons,Cedric Gibbons,True,nan,nan
Production,ART DIRECTION,ART DIRECTION,Dynamite,Mitchell Leisen,Mitchell Leisen,False,nan,nan
Production,ART DIRECTION,ART DIRECTION,Alibi,William Cameron Menzies,William Cameron Menzies,False,nan,True
Production,ART DIRECTION,ART DIRECTION,The Awakening,William Cameron Menzies,William Cameron Menzies,False,nan,True
Production,ART DIRECTION,ART DIRECTION,Street Angel,Harry Oliver,Harry Oliver,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Our Dancing Daughters,George Barnes,George Barnes,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,White Shadows in the South Seas,Clyde De Vinna,Clyde De Vinna,True,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,In Old Arizona,Arthur Edeson,Arthur Edeson,False,nan,nan
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Four Devils,Ernest Palmer,Ernest Palmer,False,nan,True
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,Street Angel,Ernest Palmer,Ernest Palmer,False,nan,True
Production,CINEMATOGRAPHY,CINEMATOGRAPHY,The Divine Lady,John Seitz,John Seitz,False,nan,nan
Directing,DIRECTING,DIRECTING,Madame X,Lionel Barrymore,Lionel Barrymore,False,nan,nan
Directing,DIRECTING,DIRECTING,The Broadway Melody,Harry Beaumont,Harry Beaumont,False,nan,nan
Directing,DIRECTING,DIRECTING,In Old Arizona,Irving Cummings,Irving Cummings,False,nan,nan
Directing,DIRECTING,DIRECTING,The Divine Lady,Frank Lloyd,Frank Lloyd,True,nan,nan
Directing,DIRECTING,DIRECTING,Drag,Frank Lloyd,Frank Lloyd,False,nan,True
Directing,DIRECTING,DIRECTING,Weary River,Frank Lloyd,Frank Lloyd,False,nan,True
Directing,DIRECTING,DIRECTING,The Patriot,Ernst Lubitsch,Ernst Lubitsch,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PICTURE,Alibi,Feature Productions,Feature Productions,False,nan,nan
Title,BEST PICTURE,OUTSTANDING PICTURE,In Old Arizona,Fox,Fox,False,nan,nan
