actor,total_films,mean_rating,mean_gross,wins
Robert De Niro,16,8.1,62271544.0625,17
Tom Hanks,14,8.035714285714286,207397498.85714287,21
Al Pacino,13,8.076923076923077,49324029.92307692,11
Brad Pitt,12,8.016666666666667,87519386.5,10
Matt Damon,11,8.009090909090908,157140145.36363637,17
Leonardo DiCaprio,11,8.127272727272727,186299763.63636363,27
Christian Bale,11,8.045454545454545,146949035.0,7
Clint Eastwood,11,7.9818181818181815,51721818.54545455,8
Ethan Hawke,9,7.888888888888889,28524883.888888888,3
Johnny Depp,9,7.7333333333333325,59459245.88888889,3
Scarlett Johansson,9,7.8999999999999995,159979282.66666666,4
Denzel Washington,9,7.711111111111112,76874423.1111111,7
Harrison Ford,8,8.2625,209558906.875,16
Robert Downey Jr.,7,7.971428571428571,447010463.14285713,0
Russell Crowe,7,8.028571428571428,99635911.0,11
Bruce Willis,7,8.042857142857143,107235764.28571428,1
Michael Caine,7,8.128571428571428,146568631.7142857,5
Jeff Bridges,7,7.785714285714286,83261223.28571428,3
Jake Gyllenhaal,7,7.828571428571428,40638938.14285714,3
Tom Cruise,7,7.8,129449287.85714285,4
Emma Watson,7,7.828571428571428,234880752.57142857,3
Ian McKellen,7,8.214285714285714,267124130.7142857,17
Edward Norton,7,7.971428571428571,32450209.0,4
Paul Newman,6,8.016666666666667,59663497.666666664,14
Josh Brolin,6,7.766666666666667,109295427.83333333,4
Kevin Bacon,6,7.7,103235793.83333333,4
Ed Harris,6,7.833333333333333,110609203.83333333,15
Dustin Hoffman,6,7.916666666666667,93109559.66666667,17
Mark Ruffalo,6,8.116666666666667,343065927.5,2
Rachel McAdams,6,7.783333333333334,68094162.83333333,3
Bill Murray,6,7.816666666666666,72957525.66666667,1
Julianne Moore,6,7.8999999999999995,48649090.333333336,1
Joe Pesci,6,8.033333333333333,76391515.33333333,3
Sean Penn,6,7.75,44734996.666666664,2
Rupert Grint,6,7.766666666666667,305983505.6666667,0
Chris Evans,6,7.8999999999999995,389944071.8333333,0
Daniel Radcliffe,6,7.766666666666667,305983505.6666667,0
Jack Nicholson,6,8.183333333333334,101203313.0,12
Ethan Coen,6,7.816666666666666,16834619.166666668,2
Samuel L. Jackson,6,7.95,151921344.16666666,4
Morgan Freeman,6,8.0,61899999.666666664,11
Ryan Gosling,5,7.88,85895834.8,9
Frances McDormand,5,7.92,29682901.6,6
Matthew McConaughey,5,8.040000000000001,77647024.6,4
Diane Keaton,5,8.34,68766494.6,13
Kevin Spacey,5,8.3,64638085.8,9
Gary Oldman,5,8.040000000000001,162026288.8,2
John Goodman,5,7.9,98853236.8,9
Catherine Keener,5,7.779999999999999,65487345.4,1
Jennifer Connelly,5,7.94,52892493.4,4
Jack Lemmon,5,7.9799999999999995,33851592.0,8
Christopher Plummer,5,7.88,110790222.4,10
Gene Hackman,5,7.8199999999999985,41635222.0,10
Joaquin Phoenix,5,8.18,138355056.6,9
Julie Delpy,5,7.92,4452056.0,0
Tom Hardy,5,8.1,197573121.8,12
Viggo Mortensen,5,8.26,165693465.8,16
Robin Williams,4,8.05,125935061.25,5
Henry Fonda,4,8.275,32255485.0,5
Hugh Jackman,4,8.15,143572698.75,0
Philip Seymour Hoffman,4,7.699999999999999,28551059.0,0
Uma Thurman,4,8.2,64143905.75,1
James McAvoy,4,7.775,112215691.75,2
Marlon Brando,4,8.425,59009480.5,17
Patricia Arquette,4,7.8,11836407.75,3
Jared Leto,4,7.925000000000001,13771749.75,3
Orlando Bloom,4,8.6,335338984.5,17
Cate Blanchett,4,7.8,158665234.75,3
Tony Chiu-Wai Leung,4,8.025,14303480.5,0
Carrie Fisher,4,8.3,253791054.0,7
Jodie Foster,4,8.025,63421702.0,5
Joe Russo,4,8.075,551259850.75,0
Joseph Gordon-Levitt,4,7.925,90169735.5,4
Michael Madsen,4,8.025,45262254.75,0
Simon Pegg,4,7.825,128767315.5,1
Kate Winslet,4,7.825,197147267.25,15
Kathy Bates,4,7.75,214959353.5,14
Keira Knightley,4,7.9,121467939.0,2
Ken Watanabe,4,8.15,156073821.0,5
Meryl Streep,4,7.75,55256349.25,6
Kevin Costner,4,7.925,125123021.75,10
Laura Dern,4,7.825,142089821.25,3
Ben Kingsley,4,8.2,75043532.0,15
Bradley Cooper,4,7.75,239470231.75,5
Benicio Del Toro,4,7.775,26047050.0,0
Liam Neeson,4,8.15,115960659.75,7
Clive Owen,4,7.85,79957845.25,0
Chiwetel Ejiofor,4,7.9,61975884.5,3
