genre,n_films,mean_rating,mean_gross,mean_votes,oscar_win_rate
Drama,499,7.938677354709419,54309034.16432866,313472.57915831666,0.3667334669338677
Adventure,163,7.963190184049081,171892635.31288344,497113.4539877301,0.3558282208588957
Comedy,161,7.873291925465839,75217644.98136646,297764.3788819876,0.2981366459627329
Crime,142,7.942957746478874,48651775.33098592,380304.4718309859,0.23943661971830985
Action,140,7.937142857142858,156621330.47142857,522284.04285714286,0.2357142857142857
Thriller,99,7.915151515151515,64940649.68686869,393537.9191919192,0.31313131313131315
Biography,88,7.909090909090909,59842717.79545455,293238.5,0.48863636363636365
Romance,88,7.925,48640202.29545455,263212.2272727273,0.4090909090909091
Mystery,70,7.947142857142858,48949373.71428572,385120.5571428572,0.24285714285714285
Animation,63,7.926984126984129,135971282.4920635,322721.0634920635,0.3492063492063492
Sci-Fi,56,7.991071428571429,161122462.9642857,649350.1428571428,0.35714285714285715
Fantasy,55,7.901818181818183,110574907.74545455,396147.2545454545,0.2
Family,43,7.876744186046513,103467128.06976745,259655.37209302327,0.3023255813953488
History,38,7.9105263157894745,62188025.65789474,260518.23684210525,0.6052631578947368
War,29,8.006896551724136,46844620.75862069,289605.8620689655,0.6206896551724138
Music,27,7.8962962962962955,39450387.03703704,169757.0,0.48148148148148145
Horror,18,7.8999999999999995,48637011.55555555,338411.77777777775,0.2777777777777778
Sport,17,7.917647058823529,59785841.058823526,280835.4117647059,0.4117647058823529
Western,16,8.037500000000001,53518837.75,272667.3125,0.375
Musical,11,7.918181818181818,24422820.636363637,87313.0,0.36363636363636365
Film-Noir,6,8.049999999999999,5078457.166666667,107983.66666666667,0.16666666666666666
